order_id,order_date,store_city,region,category,sub_category,product_name,customer_segment,quantity_sold,unit_price,unit_cost,discount_percent,total_revenue,total_cost,profit,is_return
ORD100000,2023-04-13,Mumbai,West,Men,Shirts,Shirts Style 100,Budget,5,3892,2231.67,0.015601864044243652,19156.39,11158.35,7998.04,0
ORD100001,2024-10-25,Hyderabad,South,Women,Dresses,Dresses Style 253,Budget,12,3653,2552.83,0.25011681487615217,32871.88,30633.99,2237.89,0
ORD100002,2024-07-14,Ahmedabad,West,Accessories,Belts,Belts Style 135,Middle,14,1362,949.97,0.3073692986900744,13207.08,13299.64,-92.55,0
ORD100003,2023-01-21,Kolkata,East,Footwear,Sandals,Sandals Style 264,Budget,12,2861,1704.27,0.3712596022174692,21585.92,20451.3,1134.62,0
ORD100004,2023-02-04,Bengaluru,South,Accessories,Watches,Watches Style 218,Middle,2,1821,1150.88,0.05200680211778108,3452.59,2301.77,1150.82,0
ORD100005,2024-07-09,Chennai,South,Women,Tops,Tops Style 53,Budget,8,2075,1242.51,0.2567840933365807,12337.38,9940.07,2397.31,0
ORD100006,2023-08-05,Kolkata,East,Men,Shirts,Shirts Style 81,Premium,1,3368,1952.79,0.07722447692966575,3107.91,1952.79,1155.12,0
ORD100007,2024-01-27,Hyderabad,South,Footwear,Sneakers,Sneakers Style 33,Middle,10,3078,2115.34,0.3476615538252917,20078.98,21153.37,-1074.39,0
ORD100008,2023-02-17,Gurgaon,North,Footwear,Sandals,Sandals Style 131,Middle,3,3531,2411.96,0.06375574713552132,9917.64,7235.89,2681.75,0
ORD100009,2023-01-05,Ahmedabad,West,Footwear,Formal Shoes,Formal Shoes Style 231,Middle,11,1192,675.43,0.35659943345286815,8436.27,7429.7,1006.57,0
ORD100010,2023-08-29,Mumbai,West,Men,Jeans,Jeans Style 86,Premium,5,2478,1447.94,0.07555511385430487,11453.87,7239.72,4214.15,0
ORD100011,2024-07-31,Ahmedabad,West,Men,Jeans,Jeans Style 231,Middle,6,1595,921.89,0.3705508115348672,6023.83,5531.32,492.51,0
